DateLaid,Material,Diameter,NetworkFun,ReviewAge,ReviewDiam,ReviewMate,ID,length,straightdis,sinuosity
,AC,"6""",DISTRIBUTION,"1966","150",AC,WTE-313212,397.013715966382,396.57262287002,1.00111226310372
01-10-2002,MDPE,"32",DISTRIBUTION,"2002","32",MDPE,WTE-MN606579,247.104578367655,246.870357349784,1.00094876120562
,CI,"5""",DISTRIBUTION,"1967","125",CI,WTE-313214,1.58117993912737,1.58117993912737,1
,AC,"6""",DISTRIBUTION,"1966","150",AC,WTE-313209,20.7744033368026,20.7744033368026,1
,POL,"1""",DISTRIBUTION,"1971","25",POL,WTE-MN587204,20.046989064941,20.0096996728967,1.00186356580328
,AC,"6""",DISTRIBUTION,"1967","150",AC,WTE-313204,189.014094326761,188.9940660153,1.00010597322913
,CIEL,"5""",DISTRIBUTION,"1940","125",CIEL,WTE-483704,379.906660736207,372.978288329171,1.01857580621669
01-01-1994,PE,"90",FIRE,"1994","90",PE,WTE-483714,270.539745680224,219.136062217147,1.23457427747397
01-01-1994,PE,"90",PRIVATE,"1994","90",PE,WTE-483726,354.03469061969,272.30319197912,1.30014888201104
01-11-2017,MDPE,"63",DISTRIBUTION,"2017","63",MDPE,WTE-MN1372235,87.2216445479447,82.158855700389,1.06162194938569
01-11-2017,MDPE,"63",DISTRIBUTION,"2017","63",MDPE,WTE-MN1372239,10.3550342316915,10.1843095985522,1.01676349599225
01-11-2017,MDPE,"63",DISTRIBUTION,"2017","63",MDPE,WTE-MN1372238,29.7677148983941,29.7676164985574,1.00000330560012
,AC,"4""",DISTRIBUTION,"1967","100",AC,WTE-345698,0.818394770246309,0.818394770246309,1
,AC,"4""",DISTRIBUTION,"1967","100",AC,WTE-345696,6.10205162221349,6.10205162221349,1
01-11-2017,MDPE,"63",DISTRIBUTION,"2017","63",MDPE,WTE-MN1372851,6.29860381351308,6.29860381351308,1
,AC,"4""",DISTRIBUTION,"1967","100",AC,WTE-324734,42.7757952910215,32.5024755056853,1.31607807176223
01-01-1994,PE,"90",DISTRIBUTION,"1994","90",PE,WTE-483720,89.8210283163056,84.9949959762628,1.05678019375859
01-01-1994,PE,"90",FIRE,"1994","90",PE,WTE-483716,4.57011203358305,4.57011203358305,1
01-01-1994,PE,"90",FIRE,"1994","90",PE,WTE-483718,45.3813672447244,45.3813672447244,1
,AC,"6""",DISTRIBUTION,"1967","150",AC,WTE-324700,186.885475694067,186.100280171718,1.00421920655694
,AC,"6""",DISTRIBUTION,"1967","150",AC,WTE-324703,1.96828097587253,1.96828097587253,1
,AC,"6""",DISTRIBUTION,"1967","150",AC,WTE-607192,1.74372732960926,1.74372732960926,1
,AC,"6""",DISTRIBUTION,"1967","150",AC,WTE-324595,3.62898511983535,3.62898511983535,1
,L,"0.5""",COMMUNICATION PIPE,"1960","12",L,WTE-324571,96.2207295759254,96.0725368979895,1.00154250822057
01-01-1991,UPVC,"8""",DISTRIBUTION,"1991","200",UPVC,WTE-289892,202.082367136191,201.70338684812,1.00187889898129
,MDPE,"32",PRIVATE,,,,WTE-MN1361436,3.34127758814374,2.35716206481932,1.41750015326157
