UpDepth,DownDepth,DownNode,UpNode,FlowType,Height,Width,Material,ReviewAge,ReviewDiam,ReviewDept,YearLaidBa,SewerUsage,InfCovLev,ID,length,straightdis,sinuosity
,,NZ28451119,NZ28451122,GRV,,,Z,,,,,S,,STE-S1423286,10.376533621582,10.376533621582,1
,,NZ28451120,NZ28451121,GRV,,,Z,,,,,F,,STE-S1423282,6.48025693940048,6.48025693940048,1
,,NZ28451126,NZ28451112,GRV,,,Z,,,,,F,,STE-S1423281,3.01823855913982,3.01823855913982,1
,,NZ28451111,NZ28451113,GRV,,,Z,,,,,S,,STE-S1423290,10.2948222422762,10.2948222422762,1
,,NZ28451111,NZ2845P004,GRV,,,Z,,,,,S,,STE-S1423294,8.68837090601719,8.68837090601719,1
,,NZ28451112,NZ28451114,GRV,,,Z,,,,,F,,STE-S1423280,6.76227986701875,6.76227986701875,1
,,NZ2845A003,NZ2845P008,GRV,,,Z,,,,,S,,STE-S1423284,2.03358722458816,2.03358722458816,1
,,NZ28451122,NZ2845A003,GRV,,,Z,,,,,S,,STE-S1423307,0.566789202429002,0.566789202429002,1
,,NZ28451122,NZ2845P006,GRV,,,Z,,,,,S,,STE-S1423285,2.45815581281219,2.45815581281219,1
,,NZ2845A001,NZ2845P003,GRV,,,Z,,,,,S,,STE-S1423293,0.906600794207013,0.906600794207013,1
,,NZ28451113,NZ2845A001,GRV,,,Z,,,,,S,,STE-S1423302,1.77827781854953,1.77827781854953,1
,,NZ28451113,NZ2845P002,GRV,,,Z,,,,,S,,STE-S1423291,5.33943264772061,5.33943264772061,1
,,NZ28452409,NZ28452410,GRV,,,Z,,,,,F,,STE-S1418023,4.26033249880394,4.26033249880394,1
,,NZ28451414,NZ28452409,GRV,,,Z,,,,,F,,STE-S1418022,28.4132289260025,28.4132289260025,1
,,NZ28452410,NZ28452408,GRV,,,Z,,,,,F,,STE-S1418021,7.67163620095941,7.67163620095941,1
,,NZ28452410,NZ2845P001,GRV,,,Z,,,,,F,,STE-S1418024,7.66571647003179,7.66571647003179,1
,"2770",NZ28451414,NZ28451403,GRV,"150",,VC,"1965","150","2.80",,F,,STE-S187091,4.23995966962443,4.23995966962443,1
"1640",,NZ28452401,NZ28451414,GRV,"150",,VC,"1965","150","2.80",,F,,STE-S1418020,26.7876268638936,26.7876268638936,1
"5280","5910",NZ27459709,NZ27459708,GRV,"375",,CO,,,,01-01-2005,S,,STE-S1248360,11.4490713160484,11.4490713160484,1
,,NZ28464006,NZ28464005,GRV,,,Z,"1975","225","0.90",,C,,STE-S201891,30.7842547416089,30.7842547416089,1
,,NZ27449714,NZ27449720,GRV,"100",,PVC,,,,,S,,STE-S1425772,1.27832429374398,1.27832429374398,1
,"1980",NZ27449714,NZ27449707,GRV,"300",,Z,"1975","300","2.00",,S,,STE-S187971,51.6951781116934,51.6951781116934,1
,,NZ27449720,NZ27449719,GRV,"100",,PVC,,,,,S,,STE-S1425773,9.33282733072181,9.3328272779256,1.00000000565704
,,NZ27449720,NZ2744A010,GRV,"100",,VC,,,,,S,,STE-S1425777,25.1856864508293,25.1856864508293,1
,,NZ27449719,NZ2744A009,GRV,"100",,PVC,,,,,S,,STE-S1425776,25.5963272636813,25.5944217555677,1.00007445013338
"1950",,NZ27449707,NZ27449715,GRV,"300",,VC,"1975","300","2.00",,S,,STE-S1425768,1.65080495516144,1.65080495516144,1
,,NZ2744A010,NZ2744P016,GRV,"100",,VC,,,,,S,,STE-S1425774,4.93388690589636,4.93388690589636,1
,,NZ2744A009,NZ2744P013,GRV,"100",,PVC,,,,,S,,STE-S1425775,4.13229197898863,4.13229197898863,1
"1160",,NZ28440810,NZ27449818,GRV,"150",,VC,"1975","150","1.40",,F,,STE-S1436065,65.624568234792,65.624568234792,1
,,NZ27449818,NZ28440811,GRV,,,Z,,,,,F,,STE-S1436067,9.68480381832294,9.68480381832294,1
,"1390",NZ27449818,NZ27449807,GRV,"150",,VC,"1975","150","1.40",,F,,STE-S187991,18.3526452861631,18.3526452861631,1
,,NZ28440811,NZ27449817,GRV,,,Z,,,,,F,,STE-S1436066,9.87682585646477,9.87682585646477,1
,,NZ27449817,NZ27449816,GRV,,,Z,,,,,F,,STE-S1435747,4.00648836265395,4.00648836265395,1
,,NZ27449816,NZ27449815,GRV,,,Z,,,,,F,,STE-S1435746,6.72982087424478,6.72982087424478,1
,,NZ27449815,NZ27449814,GRV,,,Z,,,,,F,,STE-S1435745,9.96328906539453,9.96328906539453,1
,,NZ27449814,NZ27449813,GRV,,,Z,,,,,F,,STE-S1435744,9.49340507934275,9.49340507934275,1
,"1000",NZ28451125,NZ28450105,GRV,"150",,VC,"1965","150","1.00",,F,,STE-S187064,62.7550916659397,62.7550916659397,1
,,NZ28451127,NZ28451107,GRV,,,Z,"1965","150","1.50",,S,,STE-S202019,21.6928087623634,21.6928087623634,1
,,NZ28451127,NZ28451119,GRV,,,Z,,,,,S,,STE-S1423288,11.1528414317085,11.1528414317085,1
,,NZ28451106,NZ28451127,GRV,,,Z,"1965","150","1.50",,S,,STE-S1423275,43.0450491530159,43.0450305609996,1.00000043192016
,,NZ28451125,NZ28451120,GRV,,,Z,,,,,F,,STE-S1423283,3.63733116453577,3.63733116453577,1
,,NZ28451126,NZ28451125,GRV,"150",,VC,"1965","150","1.00",,F,,STE-S1423273,19.0034814967931,19.0034814967931,1
,,NZ2845A004,NZ2845P007,GRV,,,Z,,,,,S,,STE-S1423287,9.95327508913322,9.95327508913322,1
,,NZ28451119,NZ2845A004,GRV,,,Z,,,,,S,,STE-S1423306,0.619213210441814,0.619213210441814,1
,,NZ28451129,NZ28451111,GRV,,,Z,,,,,S,,STE-S1423295,1.65632756421374,1.65632756421374,1
"1620",,NZ28451103,NZ28451126,GRV,"150",,VC,"1965","150","1.00",,F,,STE-S1423274,11.5007476713629,11.5007476713629,1
,,NZ2845A002,NZ2845P005,GRV,,,Z,,,,,S,,STE-S1423289,8.64030097851965,8.64030097851965,1
,,NZ2845A002,NZ28451111,GRV,,,Z,,,,,S,,STE-S1423303,1.47040028564314,1.47040028564314,1
,,NZ30435722,NZ30435721,GRV,,,Z,,,,,S,,STE-S1400007,25.4118999092744,25.4118999092744,1
,,NZ30435718,NZ30435717,GRV,"150",,VC,"1925","150","2.00",,F,,STE-S338332,3.98789092135852,3.98789092135852,1
,,NZ30435724,NZ30435727,GRV,,,Z,,,,,C,,STE-S1400012,2.95762742752967,2.95762742752967,1
,,NZ30435718,NZ30435724,GRV,,,Z,,,,,C,,STE-S1400011,2.73920353385214,2.73920353385214,1
,,NZ30435706,NZ30435718,GRV,"150",,VC,"1925","150","1.90",,F,,STE-S208432,9.02019833479885,9.02019833479885,1
,,NZ30435718,NZ3043A092,GRV,,,Z,,,,,F,,STE-S1400014,10.0766445307802,10.0766445307802,1
,,NZ30435727,NZ30435728,GRV,,,Z,,,,,F,,STE-S1400013,1.06937598631497,1.06937598631497,1
,,NZ30435727,NZ30435725,GRV,,,Z,,,,,S,,STE-S1400010,5.7672010542308,5.7672010542308,1
,,NZ3043A092,NZ3043P335,GRV,,,Z,,,,,F,,STE-S1400006,7.1309711120065,7.1309711120065,1
,"1750",NZ30445007,NZ30435906,GRV,"225",,VC,"1965","600","1.80",,F,,STE-S208579,21.9057088905949,21.9057088905949,1
,,NZ30445007,NZ30445008,GRV,,,Z,,,,,F,,STE-S1435824,14.4994488833924,12.931059740069,1.12128852351238
"930",,NZ30445004,NZ30445007,GRV,"225",,VC,"1965","600","1.80",,F,,STE-S1435823,7.24438002872671,7.24438002872671,1
"1990",,NZ30445205,NZ30445202,GRV,"375",,CO,"1965","375","1.90",,F,,STE-S209019,22.0191176026456,22.0191176026456,1
"1950",,NZ30445205,NZ30445201,GRV,"300",,Z,"1965","300","1.90",,C,,STE-S194185,22.3176628256925,22.3176628256925,1
"2050","2050",NZ30445203,NZ30445205,GRV,"450",,CO,"1965","450","2.40",,C,,STE-S209018,8.44491047905609,8.44491047905609,1
"3200","3000",NZ30445204,NZ30445203,GRV,"450",,Z,"1965","450","3.00",,C,,STE-S194184,12.36756908206,12.36756908206,1
"2650","3210",NZ30446315,NZ30445204,GRV,"150",,Z,"1965","450","2.90",,C,,STE-S209059,59.0594961882251,59.0594961882251,1
,,NZ27449621,NZ27448620,GRV,,,,,,,,F,,STE-S1425757,38.1899689744063,37.9793273505753,1.00554621786443
,,NZ27449623,NZ27448621,GRV,,,,,,,,S,,STE-S1425763,38.2615581616259,37.952808394092,1.00813509673192
,,NZ27449509,NZ27448516,GRV,"150",,VC,"1975","150","1.20",,F,,STE-S202895,25.1714379605095,25.1714379605095,1
,,NZ2744A008,NZ2744P012,GRV,,,Z,,,,,F,,STE-S1425758,5.00570075015153,5.00570075015153,1
,,NZ27449511,NZ2744A008,GRV,,,Z,,,,,F,,STE-S1425766,4.81428707084008,4.81428707084008,1
,,NZ27449510,NZ27449511,GRV,,,,,,,,F,,STE-S1425762,10.2282927216702,10.2282927216702,1
,,NZ27449626,NZ27449621,GRV,"150",,PVC,,,,,F,,STE-S1425760,11.0317079820139,11.0317079820139,1
