ChamberTyp,CoverLevel,InvertDept,NodeRefere,NodeType,SewerUsage,InfCovLev,xcoord,ycoord,zcoord
MH,"78020","3120",NZ29433704,CH,S,"78820",429318.958,543720.971,79.2443178684204
MH,"76580","2950",NZ29433705,CH,S,"78460",429352.971,543760.948,78.6881173284674
MH,"79200","1426",NZ29433703,CH,S,"78790",429356.465,543717.724,79.6331120526307
Null,"75600","2260",NZ29433701,OF,S,"76670",429361.278,543777.879,78.911642076642
MH,"76680","3320",NZ29433707,CH,S,"77850",429361.455,543773.784,78.8947602335768
MH,"76920",,NZ29433706,CH,S,"78010",429361.747,543767.023,78.8668836970801
Null,,,NZ2943P005,SPS,F,"77960",429366.023,543773.388,78.9705259416058
MH,"79350","1416",NZ29433702,CH,S,"79190",429371.602,543712.306,79.8897918421058
Null,,,NZ2943P006,ZZZ,F,"78470",429376.727,543752.293,79.0500996459854
MH,,,NZ2943P004,CH,F,"78970",429377.576,543797.028,79.281846452555
MH,,,NZ2943P009,CH,S,"78800",429379.352,543792.926,79.2921252773724
MH,,,NZ2943P003,CH,F,"79100",429394.261,543856.164,78.6645596657226
MH,,,NZ2943P007,CH,S,"79140",429394.99,543848.658,78.7953735184127
MH,"79700","1426",NZ29433602,CH,S,"79260",429395.973,543691.615,80.5937467631581
CP,,,NZ2943P008,CH,S,"79090",429398.312,543849.387,78.7644647025499
MH,,,NZ2943P002,CH,F,"78820",429422.068,543848.418,78.6543959206807
MH,,,NZ2943P010,CH,S,"78610",429432.162,543778.284,79.8555598730161
MH,,,NZ2943P001,CH,F,"78610",429440.202,543843.399,78.6471851218135
MH,,,NZ2943P011,CH,S,"78500",429454.047,543845.225,78.5401257280456
MH,,,NZ2943P013,CH,S,"78480",429471.616,543868.343,78.5703801773253
MH,,,NZ2943P012,CH,S,"78400",429476.201,543886.813,78.4260345813958
Null,,,NZ2943P017,OF,S,"76940",429493.559,543938.242,78.1125313633726
HC,,,NZ2943P016,CH,S,"77850",429495.074,543922.276,78.3428149476754
OI,,,NZ2943P015,CH,S,"78030",429495.446,543917.629,78.4085124796516
MH,,,NZ2943P014,CH,S,"78210",429495.873,543912.995,78.4751054941865
Null,,,NZ2943P020,OF,S,"80890",429661.048,543862.153,80.9782663437496
CP,,,NZ2943P019,CH,S,"81050",429666.197,543862.428,81.0269290000003
MH,,"1880",NZ29431604,CH,F,"76960",429108.25,543656.964,77.4031656963345
MH,,"1670",NZ29431701,CH,F,"75920",429111,543738,74.8261785714286
MH,,,NZ29431603,CH,F,"77900",429112,543623,78.1054607329843
MH,,"1890",NZ29431601,CH,F,"78900",429126.339,543607.695,78.9806141047119
MH,,,NZ29431609,CH,S,"79230",429139,543603,79.6140052356021
MH,,,NZ29431501,CH,F,"80250",429142.469,543577.244,80.1741941989529
MH,,"2380",NZ29431605,CH,F,"79110",429145.997,543686.276,78.287505662163
MH,,,NZ29431612,CH,F,"79380",429154.092,543661.263,78.9954539932424
MH,,,NZ29431704,CH,F,"77160",429161.393,543749.405,76.6600998928526
MH,,,NZ29431613,CH,F,"79250",429162.497,543696.1,78.2304487432435
MH,,,NZ29431702,CH,F,"78420",429164.045,543724.081,77.5575713445943
MH,,,NZ29431615,CH,S,"79530",429165.209,543685.151,78.5310037635143
MH,,,NZ29431607,CH,F,"79470",429165.934,543626.176,79.9939948108115
MH,,,NZ29431705,CH,S,"78890",429166.426,543713.574,77.8435056621614
MH,,,NZ29431614,CH,F,"79530",429168.527,543686.589,78.5327901013505
MH,,,NZ29431703,CH,F,"77610",429169.688,543744.761,77.1107874662151
MH,,"1850",NZ29431606,CH,F,"79310",429170.011,543658.207,79.2496082770257
MH,,,NZ29431611,CH,F,"79640",429175.879,543655.291,79.3874388986496
MH,,,NZ29431608,CH,F,"79970",429181,543607,80.6362331081081
MH,,,NZ29431610,CH,S,"79370",429185,543617,80.4344628378378
MH,,,NZ29432606,CH,F,"80780",429215.5,543601,81.1716722972973
MH,,,NZ29432612,CH,F,"80270",429217.632,543673.207,79.4143454527012
MH,,,NZ29432613,CH,S,"80270",429219.292,543670.338,79.5037619324329
MH,,,NZ29432611,CH,F,"79920",429221.06,543685.925,79.1391016554042
MH,,,NZ29432701,CH,F,"78810",429230.24,543720.984,78.3773229459445
MH,,,NZ29432702,CH,S,"78810",429233.005,543721.648,78.3919929864854
MH,,,NZ29432501,CH,F,"81510",429237,543589.5,81.6968040540541
MH,,,NZ29432604,CH,S,"81260",429244,543600,81.5163885135135
MH,"81024","4143",NZ29432506,CH,S,"81470",429246.505,543594.509,81.6799760202713
MH,,"1980",NZ29432602,CH,F,"81010",429249.364,543618.543,81.1191890202716
MH,,,NZ29432605,CH,S,"81030",429251,543616,81.2002939189189
MH,,,NZ29434502,CH,S,"83320",429482,543538.5,83.8108699658196
MH,,"1430",NZ29433504,CH,F,"83210",429374.555,543538.53,83.9831132293055
MH,,"1510",NZ29433506,CH,F,"82970",429378.135,543553.275,83.7195197131813
MH,,,NZ29435501,CH,F,"83160",429501.5,543555,83.4909890028236
MH,,"1600",NZ29434503,CH,S,"83010",429403.313,543556.86,83.616345605588
MH,"82484","4078",NZ29432505,CH,S,"82160",429270,543560,82.7496710526316
HC,"82002","1740",NZ29433515,CH,S,"82790",429377,543563,83.5512894932382
MH,,,NZ29433517,CH,S,"82700",429377.713,543565.929,83.4957082894735
MH,,"1340",NZ29434501,CH,F,"82830",429441.544,543569.478,83.3342280534997
MH,"82064","2610",NZ29433516,CH,S,"82160",429316.5,543575,82.7695657894737
MH,,"2080",NZ29433511,CH,S,"82460",429381.583,543582.63,83.1220282105261
MH,,"1460",NZ29433503,CH,F,"82490",429385.271,543583.437,83.1329011315782
MH,,"2090",NZ29433512,CH,S,"82430",429375.075,543584.193,83.0302871315798
